	http://unodc.publicdata.eu/r/subregion/	undefined/	Undefined area - code 	non-administrative-area
Australia and New Zealand	http://unodc.publicdata.eu/r/subregion/Australia+and+New+Zealand	Australia/Queensland/GladstoneRegional/Taragoola/NewZealandGully	New Zealand Gully	administrative-area
Caribbean	http://unodc.publicdata.eu/r/subregion/Caribbean	Caribbean	Caribbean	administrative-area
Central America	http://unodc.publicdata.eu/r/subregion/Central+America	CentralAmerica	Central America	administrative-area
	http://unodc.publicdata.eu/r/subregion/Central+Asia	undefined/Central+Asia	Undefined area - code Central+Asia	non-administrative-area
	http://unodc.publicdata.eu/r/subregion/Eastern+Africa	undefined/Eastern+Africa	Undefined area - code Eastern+Africa	non-administrative-area
	http://unodc.publicdata.eu/r/subregion/Eastern+Asia	undefined/Eastern+Asia	Undefined area - code Eastern+Asia	non-administrative-area
	http://unodc.publicdata.eu/r/subregion/Eastern+Europe	undefined/Eastern+Europe	Undefined area - code Eastern+Europe	non-administrative-area
Melanesia	http://unodc.publicdata.eu/r/subregion/Melanesia	Melanesia	Melanesia	administrative-area
Middle Africa	http://unodc.publicdata.eu/r/subregion/Middle+Africa	CentralAfrica	Central Africa	administrative-area
	http://unodc.publicdata.eu/r/subregion/North+America	undefined/North+America	Undefined area - code North+America	non-administrative-area
Northern Africa	http://unodc.publicdata.eu/r/subregion/Northern+Africa	NorthAfrica	North Africa	administrative-area
	http://unodc.publicdata.eu/r/subregion/Northern+Europe	undefined/Northern+Europe	Undefined area - code Northern+Europe	non-administrative-area
	http://unodc.publicdata.eu/r/subregion/South+America	undefined/South+America	Undefined area - code South+America	non-administrative-area
	http://unodc.publicdata.eu/r/subregion/South-Eastern+Asia	undefined/South-Eastern+Asia	Undefined area - code South-Eastern+Asia	non-administrative-area
Southern Africa	http://unodc.publicdata.eu/r/subregion/Southern+Africa	SouthernAfrica	Southern Africa	administrative-area
	http://unodc.publicdata.eu/r/subregion/Southern+Asia	undefined/Southern+Asia	Undefined area - code Southern+Asia	non-administrative-area
	http://unodc.publicdata.eu/r/subregion/Southern+Europe	undefined/Southern+Europe	Undefined area - code Southern+Europe	non-administrative-area
Western Africa	http://unodc.publicdata.eu/r/subregion/Western+Africa	WestAfrica	West Africa	administrative-area
	http://unodc.publicdata.eu/r/subregion/Western+Asia	undefined/Western+Asia	Undefined area - code Western+Asia	non-administrative-area
	http://unodc.publicdata.eu/r/subregion/Western+Europe	undefined/Western+Europe	Undefined area - code Western+Europe	non-administrative-area
