Shetland	http://statistics.gov.scot/id/statistical-geography/S08000026	UnitedKingdom/Scotland/ShetlandIslands/Shetland/Shetland	Shetland	administrative-area
Tayside	http://statistics.gov.scot/id/statistical-geography/S08000027	Canada/Ontario/Stormont,DundasandGlengarryUnitedCounties/NorthStormont/Tayside	Tayside	administrative-area
Western Isles	http://statistics.gov.scot/id/statistical-geography/S08000028	UnitedKingdom/Hebrides	Hebrides	administrative-area
Clackmannanshire	http://statistics.gov.scot/id/statistical-geography/S12000005	UnitedKingdom/Scotland/Clackmannanshire	Clackmannanshire	administrative-area
Dumfries and Galloway	http://statistics.gov.scot/id/statistical-geography/S12000006	UnitedKingdom/Scotland/DumfriesandGalloway	Dumfries and Galloway	administrative-area
East Ayrshire	http://statistics.gov.scot/id/statistical-geography/S12000008	UnitedKingdom/Scotland/EastAyrshire	East Ayrshire	administrative-area
East Lothian	http://statistics.gov.scot/id/statistical-geography/S12000010	UnitedKingdom/Scotland/EastLothian	East Lothian	administrative-area
East Renfrewshire	http://statistics.gov.scot/id/statistical-geography/S12000011	UnitedKingdom/Scotland/EastRenfrewshire	East Renfrewshire	administrative-area
Comhairle nan Eilean Siar	http://statistics.gov.scot/id/statistical-geography/S12000013	undefined/ComhairlenanEileanSiar	Comhairle nan Eilean Siar	non-administrative-area
Falkirk	http://statistics.gov.scot/id/statistical-geography/S12000014	UnitedKingdom/Scotland/Falkirk	Falkirk	administrative-area
Fife	http://statistics.gov.scot/id/statistical-geography/S12000015	UnitedKingdom/Scotland/Fife	Fife	administrative-area
Highland	http://statistics.gov.scot/id/statistical-geography/S12000017	UnitedKingdom/Scotland/Highland	Highland	administrative-area
Inverclyde	http://statistics.gov.scot/id/statistical-geography/S12000018	UnitedKingdom/Scotland/Inverclyde	Inverclyde	administrative-area
Midlothian	http://statistics.gov.scot/id/statistical-geography/S12000019	UnitedKingdom/Scotland/Midlothian	Midlothian	administrative-area
Moray	http://statistics.gov.scot/id/statistical-geography/S12000020	UnitedKingdom/Scotland/Moray	Moray	administrative-area
North Ayrshire	http://statistics.gov.scot/id/statistical-geography/S12000021	UnitedKingdom/Scotland/NorthAyrshire	North Ayrshire	administrative-area
