Tayside	http://statistics.gov.scot/id/statistical-geography/S08000027	UnitedKingdom/NorthLanarkshire/Airdrie/Airdrie/Tayside	administrative-area
Western Isles	http://statistics.gov.scot/id/statistical-geography/S08000028	UnitedKingdom/Hebrides/WesternIsles	non-administrative-area
Clackmannanshire	http://statistics.gov.scot/id/statistical-geography/S12000005	UnitedKingdom/Scotland/Clackmannanshire	administrative-area
Dumfries and Galloway	http://statistics.gov.scot/id/statistical-geography/S12000006	UnitedKingdom/Scotland/DumfriesandGalloway	administrative-area
East Ayrshire	http://statistics.gov.scot/id/statistical-geography/S12000008	UnitedKingdom/Scotland/EastAyrshire/EastAyrshire	non-administrative-area
East Lothian	http://statistics.gov.scot/id/statistical-geography/S12000010	UnitedKingdom/Scotland/EastLothian/EastLothian	non-administrative-area
East Renfrewshire	http://statistics.gov.scot/id/statistical-geography/S12000011	UnitedKingdom/Scotland/EastRenfrewshire/EastRenfrewshire	non-administrative-area
Comhairle nan Eilean Siar	http://statistics.gov.scot/id/statistical-geography/S12000013	World/tmp/ComhairlenanEileanSiar	non-administrative-area
Falkirk	http://statistics.gov.scot/id/statistical-geography/S12000014	UnitedKingdom/Scotland/Falkirk	administrative-area
Fife	http://statistics.gov.scot/id/statistical-geography/S12000015	UnitedKingdom/Scotland/Fife	administrative-area
Highland	http://statistics.gov.scot/id/statistical-geography/S12000017	UnitedKingdom/Scotland/Highland	administrative-area
Inverclyde	http://statistics.gov.scot/id/statistical-geography/S12000018	UnitedKingdom/Scotland/Inverclyde	administrative-area
Midlothian	http://statistics.gov.scot/id/statistical-geography/S12000019	UnitedKingdom/Scotland/Midlothian	administrative-area
Moray	http://statistics.gov.scot/id/statistical-geography/S12000020	UnitedKingdom/Scotland/Moray	administrative-area
North Ayrshire	http://statistics.gov.scot/id/statistical-geography/S12000021	UnitedKingdom/Scotland/NorthAyrshire/NorthAyrshire	non-administrative-area
Orkney Islands	http://statistics.gov.scot/id/statistical-geography/S12000023	UnitedKingdom/Scotland/Orkney	administrative-area
Perth and Kinross	http://statistics.gov.scot/id/statistical-geography/S12000024	UnitedKingdom/Scotland/PerthandKinross	administrative-area
Scottish Borders	http://statistics.gov.scot/id/statistical-geography/S12000026	UnitedKingdom/Scotland/ScottishBorders	administrative-area
Shetland Islands	http://statistics.gov.scot/id/statistical-geography/S12000027	UnitedKingdom/Scotland/ShetlandIslands	administrative-area
South Ayrshire	http://statistics.gov.scot/id/statistical-geography/S12000028	UnitedKingdom/Scotland/SouthAyrshire/SouthAyrshire	non-administrative-area
South Lanarkshire	http://statistics.gov.scot/id/statistical-geography/S12000029	UnitedKingdom/Scotland/SouthLanarkshire/SouthLanarkshire	non-administrative-area
Stirling	http://statistics.gov.scot/id/statistical-geography/S12000030	UnitedKingdom/Scotland/Stirling	administrative-area
Aberdeen City	http://statistics.gov.scot/id/statistical-geography/S12000033	UnitedKingdom/Scotland/AberdeenCity	administrative-area
Aberdeenshire	http://statistics.gov.scot/id/statistical-geography/S12000034	UnitedKingdom/Scotland/Aberdeenshire	administrative-area
Argyll and Bute	http://statistics.gov.scot/id/statistical-geography/S12000035	UnitedKingdom/Scotland/ArgyllandBute	administrative-area
